V0	Ø	Time	R
70.33	65.9	9.32	136.80
65.43	58.5	8.39	154.12
86.25	35.9	7.15	237.58
70.48	51.0	8.08	184.51
93.59	54.7	9.85	219.91
85.15	53.7	9.28	208.25
90.11	46.7	8.75	235.62
90.46	62.2	10.39	184.60
82.98	32.0	6.44	227.79
84.78	69.3	10.57	140.99
80.97	61.8	9.77	171.88
71.23	32.5	5.93	197.84
67.50	30.5	5.47	185.17
95.02	69.7	11.23	150.64
77.94	34.3	6.53	216.90
61.44	31.5	5.26	168.70
85.31	52.1	9.11	213.38
92.66	34.6	7.24	251.75
95.83	41.8	8.40	254.85
78.95	32.9	6.37	218.50
95.88	55.5	10.05	220.76
60.97	62.4	8.32	132.56
87.59	31.4	6.55	238.27
97.46	41.7	8.46	258.18
65.77	44.9	7.12	182.19
93.43	49.0	9.20	236.76
78.76	49.3	8.43	206.76
96.77	59.9	10.53	204.21
73.63	67.9	9.70	133.15
72.37	37.1	6.61	203.37
77.16	44.3	7.77	211.34
